㐀	丘
㐅	五
㐫	凶
㐮	襄
㐯	庸
㐱	鬒
㐴	攀
㐵	儒
㐽	偑
㑁	𠭴
㑄	侮
㑇	㑳
㑈	倲
㑌	尩
㑔	㑯
㑝	𢙱
㑩	儸
㑯	㑔
㑳	㑇
㒇	儛
㒋	廝 厮
㒓	𠉂
㒚	文 穩
㒞	儶
㒰	全
㒲	財
㒷	興
㓁	网
㓟	披
㓥	劏
㓨	刾
㓮	彫 雕
㓷	劓
㓸	斲
㔉	劚
㔍	䥷
㔱	斞
㔾	卩
㕑	𢊍 厨
㕚	爪 爫
㕞	刷
㖈	䎛
㖊	噚
㖞	喎
㗖	啗 噉 啖
㗲	𠵾
㗳	嗒
㘅	銜 啣
㘎	㘚
㘚	㘎
㘽	㦳
㙮	塔
㙳	轗
㚝	奞 奎
㚣	姣
㚯	㜄
㛀	媰
㛛	娠
㛟	𡞵
㛠	𡢃
㛣	㜏
㛤	孋
㛿	𡠹
㜄	㚯
㜏	㛣
㜢	𡞱
㜷	𡝠
㝃	娩
㝛	宿
㝵	礙 碍
㞐	居
㞞	𪨊
㟆	㠏
㟗	豳 邠
㟜	𡾱
㠊	嶇
㠏	㟆
㠯	以
㠶	帆
㡘	𢅏
㡿	斥
㢝	𢋈
㣶	邅
㣺	心
㣼	忍
㤒	笨
㤘	㥮
㤵	慈
㥃	懣 悶
㥮	㤘
㥵	慁
㦎	𢛯
㦧	憯
㦳	㘽
㧃	收
㧏	掆
㧐	㩳
㧑	撝
㧖	扼 搤
㧜	擸
㧟	擓
㧰	擽
㨉	抿
㨗	捷
㨨	㩅
㨫	㩜
㨼	撂
㩁	搉
㩅	㨨
㩜	擥 攬 㨫
㩳	㧐
㩹	𢶣
㪅	更
㪯	舉
㫃	偃
㫎	𣄈 幑
㫚	昒 曶
㬅	曼
㬱	朁
㬹	踭
㭎	棡
㭏	椲
㭣	𣙎
㭤	樢
㭨	椰
㭴	樫
㮣	槪 槩
㯃	漆 桼
㯭	櫓 樐
㯶	棕
㯽	檳
㰍	櫳
㱩	殰
㱮	殨
㱿	殼 壳
㲒	勽
㲓	毧
㲿	瀇
㳄	涎
㳔	濧
㳕	灡
㳠	澾
㳡	濄
㳢	𣾷
㳽	瀰
㴑	溯
㴔	潝
㵒	沸
㶉	鸂
㶶	燶
㶽	煱
㷉	熨
㷠	粦 燐
㷻	煳
㷿	𤈷
㺍	獱
㺏	𤠋
㻅	璯
㻏	𤫩
㻘	𤪺
㽣	域
㽽	痼
㾙	脪
㿟	皎 皦
㿧	𤽯
㿷	糙
䀋	鹽
䀠	瞿
䀢	瞬
䀥	䁻
䀹	睫 𥅴
䁖	瞜
䁪	𥇢
䁻	䀥
䂀	𥋟
䂫	夯
䂵	碽
䃉	珉
䃘	硜
䄃	殃
䄍	蜡
䄯	𢆞
䄺	稊
䅉	稏
䅪	𥢢
䆋	龝 秋
䆔	竉
䆫	窗 窓
䇲	筴
䈇	罩
䉙	𥬀
䉤	籔
䉬	𫂈
䉲	𥮜
䉵	饌 籑
䊜	糰
䊭	𥺅
䊷	䌶
䋙	䌺
䋚	䌻
䋲	繩
䋻	䌾
䋿	𦈓
䌈	𦈖
䌋	𦈘
䌖	𦈜
䌝	𦈟
䌟	𦈞
䌥	𦈠 縯
䌫	纜
䌰	𦈙
䌶	䊷
䌷	紬
䌸	縳
䌹	絅
䌺	䋙
䌻	䋚
䌼	綐
䌽	綵
䌾	䋻
䍀	繿
䍁	繸
䎛	㖈
䏕	飪
䐰	饈
䒒	苕
䓕	薳
䔛	檾
䕌	稚
䕳	𦰴
䖈	虐
䖍	虔
䖏	處 処
䖟	蝱
䖣	蚤
䖵	蜫
䗖	螮
䗿	𧉞
䘑	脉
䘚	卒
䘛	𧝞
䘞	𧜗
䘺	綻
䙊	𧜵
䙌	䙡
䙓	襬
䙝	褻 褺
䙡	䙌
䚎	𥅾
䛡	話
䛻	誘
䛼	譭
䜀	䜧
䜊	嘈
䜣	訢
䜤	鿁
䜥	𧩙
䜧	䜀
䜩	讌
䜶	豇
䝋	豵
䝙	貙
䝜	狻
䝤	獠
䝻	𧹕
䝼	䞍
䞈	𧹑
䞌	𧵳
䞍	䝼
䞎	𧶧
䞐	賰
䞓	赬
䟢	躎
䠱	躅
䢀	𨊰
䢁	𨊸
䢂	𨋢
䢙	敗
䢨	𨑹
䣩	醇
䤍	𨢥
䥀	捵
䥇	䦂
䥑	鿏
䥨	鑢
䥩	𨱖
䥱	䥾
䥷	㔍
䥺	釾
䥽	鏺
䥾	䥱
䥿	𨯅
䦀	𨦫
䦁	𨧜
䦂	䥇
䦃	鐯
䦅	鐥
䦓	覘 𦕒
䦘	𨸄
䦛	䦶
䦟	䦷
䦳	𨷿
䦶	䦛
䦷	䦟
䧢	𨸟
䨘	霰
䩞	韂
䪊	龓
䪏	𩏼
䪗	𩐀
䪘	𩏿
䪿	囟
䫴	𩖗
䬒	颼
䬘	𩙮
䬝	𩙯
䬞	𩙧
䬡	翥
䭀	𩠇
䭃	𩠈
䭪	𩞯
䭾	馱
䭿	𩧭
䮝	𩧰
䮞	𩨁
䮠	𩧿
䮫	𩨇
䮳	𩨏
䮾	𩧪
䯀	䯅
䯃	𩣑
䯄	騧
䯅	䯀
䯌	尻
䯻	髻
䰗	鬮
䰾	鲃
䱇	鱓
䱙	𩾈
䱬	𩾊
䱰	𩾋
䱷	漁 䲣
䱽	鯧 䲝
䲁	鳚
䲖	𩾂
䲝	䱽
䲞	𩶘
䲟	鮣
䲠	鰆
䲡	鰌
䲢	鰧
䲣	䱷
䲤	鿐
䲰	𪉂
䴉	鹮
䴓	鳾
䴔	鵁
䴕	鴷
䴖	鶄
䴗	鶪
䴘	鷈
䴙	鷿
䴬	𪎈
䴴	𪎋
䴹	餜
䵑	䵒
䵒	䵑
䶏	涕
䶮	龑
一	弌 壹
七	柒
丄	上
丅	下
万	萬 卍
三	叁
上	丄
下	丅
丌	其
不	不
与	與
丐	匃
丑	醜
专	專
丕	仳
世	丗
丗	世
丘	坵 㐀 丠
业	業
丛	叢
东	東
丝	絲
丟	丢
両	兩 两
丢	丟
丣	酉
两	兩 両
严	嚴
並	幷 竝 并
丧	喪
个	箇 個
丬	爿
中	塚
丰	豐
丱	卝
串	串
临	臨
丹	丹
为	為
丼	井
丽	麗
举	舉
乃	迺 廼
久	乆
乆	久
乇	虐
么	麼 幺 麽
义	義
乌	烏
乐	樂
乔	喬
乕	虎
乗	乘
乘	乗
乚	隱
九	玖
习	習
乡	鄉
书	書
乩	稽
买	買
乱	亂
乾	亁 干
亀	龜
亁	乾
亂	乱
了	了
予	豫 余
争	爭
亊	事
事	亊
二	贰 貳 弍
于	扵 於
亏	扵 於 虧
云	雲
亓	其
五	㐅 伍
井	丼
亗	𡻕 岁 歲
亘	亙
亚	亞
亜	亞
亝	齊
亞	亜 亚
亡	亾 兦
产	產
亩	畝
京	亰
亮	亮
亯	享
亰	京
亱	夜
亲	榛 親
亵	褻
亷	廉
亸	嚲
人	亻
亻	人
亼	集
亾	亡
亿	億
什	什
仁	忈
仂	働
仃	停
仅	僅
仆	僕
仇	讎 讐
从	從
仏	佛
仑	侖
仓	倉
他	她 牠
仙	僊
仝	同
仞	仭
仟	阡 千
令	令
以	㠯
仪	儀
们	們
仭	仞
仮	假
仳	丕
价	價
任	仼
仼	任
份	分 彬
仾	低
仿	倣
伀	彸
伃	妤
伍	五
众	眾
优	優
伙	夥
会	會
伛	傴
伜	倅
伝	傳
伞	傘
伟	偉
传	傳
伡	俥
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伩	信
伪	偽 僞
伫	佇
伭	玄
伱	你
伲	你
伷	胄 冑
佇	竚 伫
佈	布
佋	紹
低	仾
佑	祐
体	體 軆
佔	占
佗	它
余	餘 余 予
佛	仏
佞	侫
你	祢 您 妳 袮 伱
佣	傭
佥	僉
佬	姆
佰	百
併	倂 𠊧 并
侁	駪 詵
侂	託
侄	姪
侅	賅
來	耒 來 来
侉	誇
侎	敉
侖	崙 仑
侚	殉 狥
侠	俠
価	價
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侫	佞
侬	儂
侭	儘
侮	㑄
侶	侣
便	便
俁	俣
係	系
俈	嚳
俊	儁
俎	爼
俓	勁 徑
俔	伣
俞	兪
俟	竢
俠	侠
信	伩
俣	俁
俥	伡
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俭	儉
俯	頫
俱	倶
俲	效
俻	備
倀	伥
倂	併
倅	伜
倆	俩
倈	徠 勑 俫
倉	仓
個	箇 个
倏	倐
倐	倏
們	们
倖	幸 囟
倘	儻
借	藉
倣	仿
値	值
倫	倫 伦
倲	㑈
倶	俱
倹	儉
债	債
值	値
倾	傾
偁	稱 穪
偃	㫃
假	仮
偉	伟
偊	踽
偎	渨
偐	贋 贗
偑	㐽
偒	蕩
停	仃
健	徤
偪	逼
偬	傯
側	侧
偵	侦
偷	偸
偸	偷
偹	備
偺	咱 昝 喒
偻	僂
偽	僞 伪
偾	僨
偿	償
傁	叜 叟 墰
傌	罵
傍	旁
傏	搪
傑	杰
傖	伧
傘	繖 伞
備	俻 备
傜	徭
傢	家
傤	儎
傥	儻
傧	儐
储	儲
傩	儺
傭	佣
傯	偬
傳	传
傴	伛
債	债
傷	伤
傻	儍
傽	慞
傾	倾
僂	偻
僅	仅
僉	佥
僊	仙
働	仂
像	象
僑	侨
僕	仆
僚	僚
僞	偽 伪
僣	僭
僥	徺 侥
僨	偾
僭	僣
僱	雇
價	价
儀	仪
儁	俊
儂	侬
億	亿
儆	警
儈	侩
儉	俭
儌	僥
儍	傻
儎	傤 載
儐	傧
儒	㐵
儓	檯 枱
儔	俦
儕	侪
儘	尽
儛	㒇
償	偿
儡	酹
儣	𠆲
優	优
儭	襯
儲	储
儶	㒞
儷	俪
儸	㑩
儺	傩
儻	倘 傥
儼	俨
儿	兒
兀	兀
兇	凶
光	灮
克	剋
兌	兑
兎	兔
児	兒
兑	兌
兒	儿
兔	兎
兖	兗
兗	兖
党	黨
兦	亡
內	内
全	㒰
兩	两 両
兪	俞
八	捌
六	陸 六
兮	𠔃
兰	蘭
关	關
兴	興
其	丌
兹	茲 玆
养	養
兽	獸
兿	藝
冁	囅
冂	冋 坰
冄	冉
内	內
円	圓
冈	岡
冉	冄
冊	册
冋	坰 冂
册	冊
冐	冒
冑	胄 伷
冒	冒
冗	宂
写	寫
军	軍
农	農
冝	宜
冢	塚
冤	寃
冦	寇
冨	富
冩	寫
冪	幂 鼏 羃
冫	氷 冰
冬	鼕
冯	馮
冰	氷 冫
冱	沍
冲	衝 沖
决	決
况	況
冷	冷
冻	凍
冽	洌
净	淨 凈
凂	浼
凃	塗
凄	淒
凅	涸
准	準
凈	净 淨
凉	涼
凋	雕
凌	凌
凍	冻
减	減
凑	湊
凖	準
凙	𪞝
凛	懔 凜
凜	凛
几	幾
凡	凣 凢
凢	凡
凣	凡
凤	鳳
処	處 䖏
